Investor Name,Ticker,Buy_Date
Michael McCaul,CMCSA,2026-01-13
Michael McCaul,VTI,2024-03-25
Michael McCaul,VTI,2024-03-25
Michael McCaul,VTI,2024-03-28
Michael McCaul,VTI,2024-07-01
Michael McCaul,VTI,2024-07-01
Michael McCaul,VTI,2024-07-02
Michael McCaul,VTI,2024-12-24
Michael McCaul,VTI,2024-12-24
Michael McCaul,VTI,2024-12-26
Michael McCaul,VTI,2025-03-28
Michael McCaul,VTI,2025-03-28
Michael McCaul,VTI,2025-03-31
Michael McCaul,VTI,2025-03-31
Michael McCaul,VTI,2025-07-01
Michael McCaul,VTI,2025-07-02
Michael McCaul,VTI,2025-10-01
Michael McCaul,VTI,2026-03-16
Michael McCaul,VTI,2026-03-16
Michael McCaul,VTI,2026-03-16
Michael McCaul,VTI,2026-03-16
Michael McCaul,GOOGL,2026-03-16
Michael McCaul,MSFT,2026-01-30
Michael McCaul,NFLX,2026-01-30
Michael McCaul,NFLX,2026-03-16
Michael McCaul,SAP,2025-11-28
Michael McCaul,SAP,2026-01-13
Michael McCaul,SAP,2026-01-30
Michael McCaul,UNH,2025-05-20
Michael McCaul,UNH,2025-11-04
Michael McCaul,MSDA,2024-03-28
Michael McCaul,MSDA,2024-06-05
Michael McCaul,MSDA,2024-06-27
Michael McCaul,MSDA,2024-12-27
Michael McCaul,MSDA,2025-03-27
Michael McCaul,MSDA,2025-06-27
Michael McCaul,MSDA,2026-03-16
Michael McCaul,DFCEX,2024-06-28
Michael McCaul,DFCEX,2024-06-28
Michael McCaul,DFCEX,2024-12-11
Michael McCaul,DFCEX,2024-12-11
Michael McCaul,DFCEX,2025-03-31
Michael McCaul,DFCEX,2025-06-30
Michael McCaul,DFCEX,2025-06-30
Michael McCaul,DFCEX,2025-07-01
Michael McCaul,DFCEX,2025-10-01
Michael McCaul,DFCEX,2026-03-16
Michael McCaul,DFCEX,2026-03-16
Michael McCaul,DFCEX,2026-03-16
Michael McCaul,DFCEX,2026-03-16
Michael McCaul,HLMIX,2024-12-20
Michael McCaul,HLMIX,2024-12-20
Michael McCaul,HLMIX,2024-12-20
Michael McCaul,HLMIX,2024-12-20
Michael McCaul,NWHVX,2024-12-20
Michael McCaul,VWLUX,2025-07-01
Michael McCaul,VWLUX,2025-08-01
Michael McCaul,VWLUX,2025-10-01
Michael McCaul,VWLUX,2025-11-03
Michael McCaul,VWLUX,2026-01-02
Michael McCaul,VWLUX,2026-03-16
Michael McCaul,VVV,2025-11-19
Michael McCaul,LDNXF,2025-08-13
Michael McCaul,LDNXF,2025-08-20
Michael McCaul,LDNXF,2025-10-07
Michael McCaul,LDNXF,2025-10-14
Michael McCaul,LDNXF,2026-03-16
Michael McCaul,LDNXF,2026-03-16
Michael McCaul,AVGO,2025-08-07
Michael McCaul,AVGO,2025-08-08
Michael McCaul,AVGO,2025-08-15
Michael McCaul,AVGO,2025-08-29
Michael McCaul,AVGO,2025-10-31
Michael McCaul,AVGO,2026-03-16
Michael McCaul,AVGO,2026-03-16
Michael McCaul,OMF,2025-04-04
Michael McCaul,LEN,2025-06-26
Michael McCaul,LEN,2025-10-03
Michael McCaul,LEN,2025-10-10
Michael McCaul,LEN,2025-11-05
Michael McCaul,DXCM,2025-08-04
Michael McCaul,DXCM,2025-08-07
Michael McCaul,DXCM,2026-03-16
Michael McCaul,INTU,2026-01-30
Michael McCaul,NSIT,2026-01-28
Michael McCaul,NSIT,2026-03-16
Michael McCaul,GEV,2025-10-16
Michael McCaul,GEV,2025-10-23
Michael McCaul,DLTR,2026-03-16
Michael McCaul,MSA,2025-11-20
Michael McCaul,MSA,2026-03-16
Michael McCaul,ZION,2025-08-20
Michael McCaul,GPN,2025-10-24
Michael McCaul,LPX,2025-11-18
Michael McCaul,WDAY,2025-10-14
