Committee,Subcommittee,Full_Name,State
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Commodities. Derivatives. Risk Management. and Trade,John Boozman,AR
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Commodities. Derivatives. Risk Management. and Trade,Chairman,N/A
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Commodities. Derivatives. Risk Management. and Trade,Mitch McConnell,KY
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Commodities. Derivatives. Risk Management. and Trade,John Hoeven,ND
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Commodities. Derivatives. Risk Management. and Trade,Joni Ernst,IA
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Commodities. Derivatives. Risk Management. and Trade,Cindy Hyde-Smith,MS
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Commodities. Derivatives. Risk Management. and Trade,Roger Marshall,KS
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Commodities. Derivatives. Risk Management. and Trade,Tommy Tuberville,AL
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Commodities. Derivatives. Risk Management. and Trade,James C. Justice,WV
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Commodities. Derivatives. Risk Management. and Trade,Chuck Grassley,IA
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Commodities. Derivatives. Risk Management. and Trade,John Thune,SD
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Commodities. Derivatives. Risk Management. and Trade,Deb Fischer,NE
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Commodities. Derivatives. Risk Management. and Trade,Jerry Moran,KS
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Commodities. Derivatives. Risk Management. and Trade,Amy Klobuchar,MN
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Commodities. Derivatives. Risk Management. and Trade,Ranking Member,N/A
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Commodities. Derivatives. Risk Management. and Trade,Michael F. Bennet,CO
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Commodities. Derivatives. Risk Management. and Trade,Tina Smith,MN
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Commodities. Derivatives. Risk Management. and Trade,Richard J. Durbin,IL
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Commodities. Derivatives. Risk Management. and Trade,Cory A. Booker,NJ
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Commodities. Derivatives. Risk Management. and Trade,Ben Ray Lujan,NM
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Commodities. Derivatives. Risk Management. and Trade,Raphael G. Warnock,GA
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Commodities. Derivatives. Risk Management. and Trade,Peter Welch,VT
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Commodities. Derivatives. Risk Management. and Trade,John Fetterman,PA
Committee on Agriculture. Nutrition. and Forestry,Subcommittee on Commodities. Derivatives. Risk Management. and Trade,Adam B. Schiff,CA
