Symbol,Name,Volume
INTC,Intel Corporation,2.663M
F,Ford Motor Company,1.116M
TSLA,"Tesla, Inc.",7.996M
SOFI,"SoFi Technologies, Inc.",2.298M
GOOGL,Alphabet Inc.,3.038M
VALE,Vale S.A.,539212
BAC,Bank of America Corporation,791912
PFE,Pfizer Inc.,1.014M
AAL,American Airlines Group Inc.,1.525M
T,AT&T Inc.,938362
CSCO,"Cisco Systems, Inc.",757176
MARA,"MARA Holdings, Inc.",2.58M
GRAB,Grab Holdings Limited,1.089M
PCG,PG&E Corporation,288385
ACHR,Archer Aviation Inc.,2.984M
CMCSA,Comcast Corporation,463154
HIMS,"Hims & Hers Health, Inc.",21.597M
AVGO,Broadcom Inc.,732376
KO,The Coca-Cola Company,404578
MSFT,Microsoft Corporation,868001
VZ,Verizon Communications Inc.,452733
RKLB,Rocket Lab Corporation,1.688M
NGD,New Gold Inc.,514775
RIOT,"Riot Platforms, Inc.",1.243M
BBD,Banco Bradesco S.A.,171765
,,
